Код,Категории,Название,Характеристики
1424659204,Товары для животных;Для кошек;Корма и лакомства;Влажные корма;Мнямс,"Корм Мнямс Delicatesse (в желе) для кошек, курица, 70 г x 12 шт"
1477895181,Товары для животных;Для собак;Корма и лакомства;Сухие корма;Mr.Buffalo,"Корм Mr. Buffalo Adult M/L для собак средних и крупных пород, с курицей, 2 кг"
1093670374,Товары для животных;Для грызунов и хорьков;Корма и лакомства,Сафлор зерно сухой корм для домашних лесных уличных декоративных птиц попугаев канареек голубей и грызунов 2000г.
865818741,Товары для животных;Для грызунов и хорьков;Корма и лакомства;Little One,"Корм для морских свинок Little One (Литтл Уан), 400гр"
1426144382,Товары для животных;Для собак;Корма и лакомства;Сухие корма;Royal Canin,"Royal Canin Breed dog Labrador Retriever Adult / Сухой корм Роял Канин для взрослых собак породы Лабрадор старше 15 месяцев, 12 кг"
918048777,Товары для животных;Для кошек;Корма и лакомства;Сухие корма;Purina ONE,Сухой корм PURINA ONE для взрослых кошек живущих дома с индейкой и злаками (3кг + 3 кг)
1447339832,Товары для животных;Для кошек;Корма и лакомства;Сухие корма;PRO PLAN,Корм сухой JUNIOR DELICATE С ИНДЕЙКОЙ для котят и беременных кошек (пакет) 400+400 гр (Pro Plan)
527977744,Товары для животных;Для кошек;Корма и лакомства;Сухие корма;ALLEVA,"Alleva Holistic Cat Neutered с Курицей и Уткой 1,5кг"
1355289006,Товары для животных;Для кошек;Корма и лакомства;Влажные корма;ZooRing,Консервы ZooRing для кастрированных котов и стерилизованных кошек с львинкой мясное ассорти паштет (100 г х 16 шт)
1496292323,Товары для животных;Для собак;Корма и лакомства;Сухие корма;Grand Dog,"Корм для собак Grand Dog MIX universal супер-премиум класса, 20 кг"
614421653,Товары для животных;Для кошек;Корма и лакомства;Сухие корма;Whiskas,Полнорационный сухой корм Whiskas для кошек подушечки/паштет Говядина 5кг
1124287624,Товары для животных;Для кошек;Корма и лакомства;Сухие корма;Elato,"Сухой корм Элато Холистик (Elato Holistic) для кошек Ягненок и Оленина 1,5кг"
1331437500,Товары для животных;Для кошек;Корма и лакомства;Лакомства;Деревенские лакомства,Деревенские лакомства для кошек Нежное пюре из курицы - 40 г х 10 уп
1004737246,Товары для животных;Для кошек;Корма и лакомства;Сухие корма;Kitekat,"Корм сухой для кошек ""Kitekat"", телятинка аппетитная, 1,9кг. х 4шт."
1099579876,Товары для животных;Для собак;Корма и лакомства;Сухие корма;BUDDY DINNER,"Корм сухой для собак всех пород BUDDY DINNER Супер Премиум класса Gold Line гипоаллергенный, полнорационный, без добавок, 100% натуральный состав лосось 20 кг"
406879814,Товары для животных;Для кошек;Корма и лакомства;Влажные корма;Royal Canin,"Влажный корм Royal Canin Hair&Skin Care пауч для поддержания здоровья кожи и шерсти кошек (кусочки в желе) с мясом, 85г х 28шт."
1348618059,Товары для животных;Для собак;Корма и лакомства;Сухие корма;Mr.Buffalo,"Корм Mr. Buffalo Adult M/L для собак средних и крупных пород, с курицей, 2 кг"
1335379166,Товары для животных;Для грызунов и хорьков;Корма и лакомства,Сафлор зерно сухой корм для домашних лесных уличных декоративных птиц попугаев канареек голубей и грызунов 2000г.
834538676,Товары для животных;Для кошек;Корма и лакомства;Влажные корма;Мнямс,"Корм Мнямс Delicatesse (в желе) для кошек, курица, 70 г x 12 шт"
1421817428,Товары для животных;Для грызунов и хорьков;Корма и лакомства;Little One,"Корм для морских свинок Little One (Литтл Уан), 400гр"
1363369177,Товары для животных;Для собак;Корма и лакомства;Сухие корма;Royal Canin,"Royal Canin Breed dog Labrador Retriever Adult / Сухой корм Роял Канин для взрослых собак породы Лабрадор старше 15 месяцев, 12 кг"
1447555966,Товары для животных;Для кошек;Корма и лакомства;Сухие корма;Purina ONE,Сухой корм PURINA ONE для взрослых кошек живущих дома с индейкой и злаками (3кг + 3 кг)
992350952,Товары для животных;Для кошек;Корма и лакомства;Влажные корма;Organic Choice,"Organic Сhoice GF, Влажный корм для кошек, ТУНЕЦ с СИБАСОМ в соусе (6 шт. по 70 гр.)"
1500632802,Товары для животных;Для кошек;Корма и лакомства;Сухие корма;Pro Plan Veterinary Diets,"Сухой корм Pro Plan для поддержания красоты шерсти и здоровья кожи, с лососем, пакет, 1.5 кг"
709595392,Товары для животных;Ветаптека;Парафармацевтика;Кормовые добавки;Olimpia Village,Лососевое масло для собак и кошек / Масло Дикого Камчатского лосося для животных / Рыбий жир для собак и кошек
1400151804,Товары для животных;Для кошек;Корма и лакомства;Сухие корма;AWARD,"AWARD Healthy growth 400г сухой корм для котят от 1 месяца, беременных и кормящих кошек с индейкой и курицей с добавлением рыбьего жира и семян льна"
1348488695,Товары для животных;Для грызунов и хорьков;Корма и лакомства;Зоомир,"Минеральный камень ЗООМИР для грызунов с пробиотиком, 6шт"
1452575701,Товары для животных;Для грызунов и хорьков;Корма и лакомства;Versele-Laga,Корм для дегу Versele-Laga Nature Degu 700 г
762787533,Товары для животных;Для собак;Корма и лакомства;Сухие корма;PRO PLAN,"Pro Plan корм для собак всех возрастов и пород при заболеваниях почек 1,5 кг"
